#Frame,Sentiment Label,Sentiment Score
702,Sad,0.7333396
703,Sad,0.7547376
704,Sad,0.72897834
705,Sad,0.66718155
706,Sad,0.7548483
707,Sad,0.7413097
708,Sad,0.6864532
709,Sad,0.66577643
710,Sad,0.6798567
711,Sad,0.69780934
712,Sad,0.58732617
713,Sad,0.69140327
714,Sad,0.6179615
715,Sad,0.69389594
716,Sad,0.78050125
717,Sad,0.7569001
718,Sad,0.6884036
719,Sad,0.70419115
720,Sad,0.73522115
721,Sad,0.64216226
722,Sad,0.6612829
723,Sad,0.59655595
724,Sad,0.6637228
725,Sad,0.6935276
726,Sad,0.6954813
727,Sad,0.6820966
728,Sad,0.675387
729,Sad,0.5274284
730,Sad,0.73888415
731,Sad,0.74292654
732,Sad,0.7268969
733,Sad,0.5881665
734,Sad,0.4751195
735,Sad,0.55058473
736,Sad,0.6877434
737,Sad,0.75940317
738,Sad,0.73435885
739,Sad,0.6963218
740,Sad,0.7158749
741,Sad,0.77856255
742,Sad,0.6057948
743,Sad,0.6618796
744,Sad,0.68676955
745,Sad,0.67622507
746,Sad,0.5831659
747,Sad,0.44882652
748,Sad,0.5966949
749,Sad,0.5296943
750,Sad,0.3435412
751,Anger,0.47499037
752,Sad,0.38370067
753,Neutral,0.3401915
754,Neutral,0.30381602
755,Anger,0.38834393
756,Surprise,0.4832975
757,Surprise,0.30846387
758,Neutral,0.4277882
759,Surprise,0.32730955
760,Neutral,0.32191786
761,Sad,0.5338275
762,Sad,0.3476497
763,Neutral,0.34728867
764,Sad,0.35810107
765,Neutral,0.35755432
766,Sad,0.40407616
767,Sad,0.4313573
768,Anger,0.47484064
769,Neutral,0.3457848
770,Sad,0.31672975
771,Sad,0.8732523
772,Sad,0.89129424
773,Sad,0.9034849
774,Sad,0.92309844
775,Sad,0.92790085
776,Sad,0.8724468
777,Sad,0.8394761
778,Sad,0.81064713
779,Sad,0.8655259
780,Sad,0.839506
781,Sad,0.9054351
782,Sad,0.90381
